key_value	cited	unit	japanese	eng1	eng2	eng3
NBU01S001	1	1	ユキはホストファザーのトニーと対面します。	"Yuki meets her host father, Tony."		
NBU01S002	1	1	T:すみません。ユキですか。	T : Excuse me. Are you Yuki?		
NBU01S003	1	1	Y:はい、そうです。トニーですか。	"Y : Yes, I am. Tony?"		
NBU01S004	1	1	T:ええ。はじめまして、ユキ。ロンドンへようこそ!ついにお会いできてうれしいです。	"T : Yes. Nice to meet you, Yuki. Welcome to London! I'm so glad to finally meet you."		
NBU01S005	1	1	Y:はじめまして、トニー。こちらこそお目にかかれてうれしく思います。空港まで迎えに来てくださり、ありがとうございます。	"Y : Nice to meet you too, Tony. It's lovely to see you in person. Thank you very much for picking me up at the airport."		
NBU01S006	1	1	T:大丈夫ですよ。あ、妻のルーシーですが、今日は仕事で一緒に来られなかったのですが、30分で帰宅します。私たちの到着を待っています。	"T : No problem. My wife, Lucy, is working today, so she couldn't come with me. However, she'll be back home in half an hour and waiting for us when we get in."		
NBU01S007	1	1	Y:お会いするのを本当に楽しみにしています。	Y : I'm truly excited to see her.		
NBU01S008	1	1	T:彼女もとてもワクワクしています。あ、荷物を運ぶのを手伝いましょう、ユキ。	"T : She's absolutely thrilled too. Oh, let me help you carry your luggage, Yuki."		
NBU01S009	1	1	Y:ありがとうございます。	Y : Thank you.		
NBU01S010	1	1	(今年の夏にケンブリッジで2ヶ月間ホームステイをします)	I'm doing a homestay for two months in Cambridge this summer.		
NBU01S011	1	1	(私のホストファミリーは、かわいい犬のローバーと一緒に暮らす3人家族です)	"My host family are a family of three living with a lovely dog, Rover."		
NBU01S012	1	1	(学校がホストファミリーを紹介してくれました)	The school introduced the host family to me.		
NBU01S013	1	1	(友人のマリアナがこの学校を勧めてくれました。彼女は元学生なんです)	"A friend of mine, Mariana recommended this school. She's a former student."		
NBU01S014	1	1	(海外での生活は視野を広げます)	Living abroad broadens your horizons.		
NBU01S015	1	1	(ささやかなプレゼントです。気に入っていただけるとうれしいです)	This is a small gift for you. I hope you'll like it.		
NBU01S016	1	1	お会いできてうれしいです。（初対面、出会った時）	Nice to meet you. 		
NBU01S017	1	1	お会いできてうれしいです。（イギリス表現、初対面、出会った時）	Lovely to meet you.		
NBU01S018	1	1	お会いできてうれしいです。（初対面、別れ際）	Nice meeting you.		
NBU01S019	1	1	お会いできてうれしいです。（イギリス表現、初対面、別れ際）	Lovely meeting you.		
NBU01S020	1	1	お会いできてうれしいです。（2回目以降、出会った時）	Nice to see you.		
NBU01S021	1	1	お会いできてうれしいです。（イギリス表現、2回目以降、出会った時）	Lovely to see you.		
NBU01S022	1	1	お会いできてうれしいです。（2回目以降、別れ際）	Nice seeing you.		
NBU01S023	1	1	お会いできてうれしいです。（イギリス表現、2回目以降、別れ際）	Lovely seeing you.		
NBU01S024	1	1	絶好調な週の始まりになることを願っているよ!	Hope your week gets off to a cracking start!		
NBU02S001	1	2	家に向かう途中、トニーはユキにフライトについて尋ねます。	Tony asks Yuki about her flight while driving home.		
NBU02S002	1	2	T:いいフライトでしたか。	T : Did you have a nice flight?		
NBU02S003	1	2	Y:はい、十分に快適でした。本を読んだり、映画を観たり、隣に座っていたスウェーデン人の乗客とおしゃべりしたりして時間を過ごしました。	"Y : Yes, it was comfortable enough. I passed the time reading, watching films and having a chat 2 with a Swedish passenger sitting next to me."		
NBU02S004	1	2	T:すばらしい。長旅の後なので、時差ぼけがなければよいのですが。	T : Brilliant. I hope you don't have jet lag after the long journey.		
NBU02S005	1	2	Y:少し眠いですが、それ以外は大丈夫です。	"Y : I feel a little bit sleepy, but otherwise I'm totally OK."		
NBU02S006	1	2	T:よかった。あと30分ほどで家に着きますよ。仮眠をとってもいいですし、またはロンドンの美しい景色を眺めてくださいね。私の意見では、初夏はこの国で最もすてきな季節です。	"T : Good. We should be back home in about 30 minutes. You can grab 40 winks, if you want, or enjoy watching the beautiful scenery of London as it passes by. In my opinion, early summer is the most delightful season in this country."		
NBU02S007	1	2	Y:うれしいです。一年で最高の時期にロンドンに来ることができて、私、とてもラッキーですね!	Y : Lovely. I feel so incredibly lucky to come to London at the best time of the year!		
NBU02S008	1	2	(緊張しすぎて一睡もできなかった)	I was so nervous that I couldn't sleep a wink.		
NBU02S009	1	2	(ロングフライトの後、少し時差ぼけがあります)	I'm a little jet-lagged after the long flight.		
NBU02S010	1	2	(フライトはちょっと揺れました)	The flight was a little bumpy.		
NBU02S011	1	2	(体内時計を時差と合わせるのに1週問かかりました)	It took a week to adjust my body clock to the time difference.		
NBU02S012	1	2	(スーツケースが壊れています)	My suitcase has been damaged.		
NBU02S013	1	2	(イギリスは夏の間、日本から8時間遅れていますが、夏時間が終わると時計の針を1時間早めます)	"The UK is 8 hours behind Japan in the summer, but we set our clock an hour back when BST is over."		
NBU02S014	1	2	フランスから旅を始めて、トルコに行き着いた。	We started travelling in France and finished up in Turkey.		
NBU03S001	1	3	ユキはホストファミリーに自己紹介をします。	Yuki introduces herself to her host family.		
NBU03S002	1	3	L:では、ユキは日本で会社員をしていたんですね。	"L : So, you were an office worker in Japan, Yuki."		
NBU03S003	1	3	Y:ええ。東京の旅行代理店の営業部で働いていました。仕事は楽しかったんですが、同時に新たにチャレンジできることを探していました。	"Y : Yes. I worked in the sales department at a travel agency in Tokyo. I enjoyed my job but, at the same time, I was looking for a new challenge."		
NBU03S004	1	3	L:それで仕事を辞めて、ロンドンに来ることに決めたんですね。	L : You quit your job and then decided to come to London?		
NBU03S005	1	3	Y:そうです。日本に戻ったらツアーガイドになりたいんです。ここでの経験を今後のキャリアに活かしていきたいと思っています。	Y : That's right. I want to be a tour guide when I go back. I hope to make full use of the experience here for my future career.		
NBU03S006	1	3	L:それはすばらしい。私たちについてですが、トニーは会計士で、私は図書館員。二人共とても忙しいので、週末はリラックスするようにしています。	"L : Excellent. As for us, Tony is an accountant and I'm a librarian. Since we have a very busy schedule, we try to wind down at the weekend."		
NBU03S007	1	3	Y:自由時間は何をするんですか。	Y : What do you do in your free time?		
